Year,Turnover Improvement,Productivity Gains,Reduced Safety Incidents,Decrease in Claims,CPI,Direct Labor and Benefits per hr
Year 1,0,0,0,0,0.03,0
Year 2,0.03,0.01,0.03,0.03,0.03,34.22115398
Year 3,0.05,0.01,0.05,0.07,0.03,35.2477886
Year 4,0.07,0.01,0.07,0.07,0.03,36.30522226
Year 5,0.08,0.01,0.08,0.08,0.03,37.39437892
Year 6,0.08,0.01,0.08,0.08,0.03,38.51621029
Year 7,0.08,0.01,0.08,0.08,0.03,39.6716966
Year 8,0.08,0.01,0.08,0.08,0.03,40.8618475
Year 9,0.08,0.01,0.08,0.08,0.03,42.08770292
Year 10,0.08,0.01,0.08,0.08,0.03,43.35033401